Location,Stage,ID,pH,elevation,fishpresence,lenticlotic,darnerprop,openwater,Taxa count,Abundance,Area sampled
Cranesville MCRB,nymph,CMCRBn,6.97,776,2,2,0.666666667,1388,2,3,
Cranesville N Farm Pond,nymph,CNFPn,7.22,786,2,1,0,761,1,4,
Cranesville Powerlines,nymph,CPn,6.97,777,2,2,0,2981,4,16,
Cranesville Trails,nymph,CTn,4.8,778,1,1,0,67.55,1,6,
Cranesville WOSR,nymph,CWOSRn,6.97,865,2,2,0,865,1,6,
Cunningham Swamp,nymph,CSn,7.03,781,2,1,0,3546,1,2,
Finzel Swamp,nymph,FSn,6.56,824,2,1,0,7737,3,4,
Glade Run,nymph,GRn,4.67,742,1,2,1,394,1,8,
Hammel Glade,nymph,HGn,6.66,774,2,2,0,7127,1,1,
Highest Bog ,nymph,HBn,4.5,851,1,1,0.107438017,13939.61,12,605,
Mt Nebo WMA,nymph,MNn,6.2,745,2,1,0.666666667,9530,3,3,
Murley Run,nymph,MRn,5.02,748,1,2,1,883,1,4,
N Cherry Creek Bog,nymph,NCCBn,6.12,821,2,1,0.216216216,15377.6,14,37,
N Cherry Creek Ponds,nymph,NCCPn,4.32,827,1,1,0.338709677,1951.5,7,62,
Nemesis Mt Bog N,nymph,NBNn,4.15,832,1,1,0.055555556,105.58,7,18,
Nemesis Mt Bog S,nymph,NBSn,4.34,828,1,1,0.079365079,3021.7,10,126,
Nemesis Mt Power Line Pools,nymph,NMPLn,4.53,837,1,1,0.363636364,122.25,6,11,
Piney Reservoir,nymph,PRn,6.9,724,2,2,0.75,6716,4,16,
Pronghorn Swamp,nymph,PSn,6.15,752,1,1,0,376,3,7,
Salting Grounds,nymph,SGn,6.26,730,2,1,0,3707,2,3,
Snaggy Marsh,nymph,SMn,6.15,739,1,2,0.6,342,3,5,
Tannery Wetland,nymph,TWn,6.4,751,2,2,0.625,279,5,8,
The Glades,nymph,TGn,5.36,815,2,1,0.535714286,1197,7,28,
Wolf Swamp N,nymph,WFn,5.9,786,2,2,0.052631579,4880,8,19,
