Location,SppCode,Sex,Number,Date
NMBS,CGrDar,m,1,2-May-18
NMPN,PaiSki,m,2,11-May-18
NMBN,PaiSki,m,3,11-May-18
NMPN,PaiSki,m,4,11-May-18
HB,CarSad,m,5,12-May-18
HB,PaiSki,m,6,12-May-18
HB,PaiSki,m,7,12-May-18
HB,PaiSki,m,8,12-May-18
HB,PaiSki,m,9,12-May-18
HB,PaiSki,m,10,12-May-18
HB,PaiSki,m,11,12-May-18
HB,CarSad,m,12,12-May-18
HB,PaiSki,m,13,12-May-18
HB,PaiSki,m,14,12-May-18
HB,CarSad,m,15,12-May-18
HB,CarSad,m,16,12-May-18
HB,CarSad,m,17,12-May-18
HB,CarSad,m,18,12-May-18
NMPN,PaiSki,m,19,23-May-18
NMPN,PaiSki,m,20,23-May-18
NMPN,PaiSki,m,21,23-May-18
NMPN,PaiSki,m,22,23-May-18
HB,CarSad,m,23,24-May-18
HB,PaiSki,m,24,24-May-18
HB,PaiSki,m,25,24-May-18
HB,PaiSki,m,26,24-May-18
HB,PaiSki,m,27,24-May-18
HB,CarSad,m,28,24-May-18
HB,CarSad,m,29,24-May-18
HB,PaiSki,m,30,24-May-18
HB,ChFCor,m,31,24-May-18
HB,PaiSki,m,32,24-May-18
HB,CarSad,m,33,24-May-18
HB,CarSad,m,34,24-May-18
NMPS,PaiSki,m,35,25-May-18
NMPS,PaiSki,m,36,25-May-18
NMPS,PaiSki,m,37,25-May-18
NMPS,PaiSki,m,38,25-May-18
NMPS,ChFCor,f,39,25-May-18
NMPS,ChFCor,m,40,25-May-18
NMPS,ComWhi,m,41,25-May-18
NMBS,BeaBas,m,42,25-May-18
NMBS,PaiSki,m,43,25-May-18
NMBS,BeaBas,m,44,25-May-18
NMBS,PaiSki,m,45,25-May-18
NMBS,PaiSki,m,46,25-May-18
NMBS,PaiSki,m,46,9-Jun-18
NMBS,PaiSki,m,47,25-May-18
NMBS,CarSad,m,48,25-May-18
NMBS,PaiSki,m,49,25-May-18
NMBS,PaiSki,m,50,25-May-18
NMBS,PaiSki,f,51,25-May-18
NMBS,PaiSki,m,52,25-May-18
NMBS,PaiSki,m,52,29-May-18
NMBS,PaiSki,m,53,25-May-18
NMBS,PaiSki,m,54,25-May-18
NMBS,PaiSki,m,55,25-May-18
NMBS,PaiSki,m,56,25-May-18
NMBS,PaiSki,m,57,25-May-18
NMBS,CarSad,m,58,25-May-18
NMBS,PaiSki,m,59,25-May-18
NMBS,PaiSki,m,60,25-May-18
NMBS,BeaBas,m,61,25-May-18
NMBS,BeaBas,m,62,25-May-18
NMBS,PaiSki,m,63,25-May-18
NMPS,ComWhi,m,64,25-May-18
NMPS,ChFCor,f,65,25-May-18
NMPS,ComWhi,m,66,25-May-18
NMPS,PaiSki,m,67,25-May-18
NCCP,BeaBas,m,68,25-May-18
NCCP,CGrDar,m,69,25-May-18
NCCP,BeaBas,m,70,25-May-18
NCCP,PaiSki,m,71,25-May-18
NCCP,PaiSki,m,72,25-May-18
NCCP,PaiSki,m,73,25-May-18
NCCB,ComWhi,m,74,25-May-18
NCCB,BeaBas,m,75,25-May-18
NCCB,BeaBas,m,76,25-May-18
NCCB,ComWhi,m,77,25-May-18
NCCB,BeaBas,m,78,25-May-18
NCCB,ComWhi,m,79,25-May-18
NCCB,ChFCor,m,80,25-May-18
NCCB,BeaBas,m,81,25-May-18
NCCB,PaiSki,m,82,25-May-18
NCCP,BeaBas,m,83,25-May-18
NCCP,BeaBas,m,84,25-May-18
NCCP,BeaBas,m,85,25-May-18
NCCP,BeaBas,m,86,25-May-18
NCCP,BeaBas,m,87,25-May-18
CT,HudWhi,m,88,28-May-18
CT,HudWhi,m,89,28-May-18
CT,HudWhi,m,89,4-Jun-18
CT,HudWhi,m,89,12-Jun-18
CT,HudWhi,m,90,28-May-18
CT,HudWhi,m,91,28-May-18
CT,HudWhi,m,92,28-May-18
CT,HudWhi,m,92,12-Jun-18
CT,HudWhi,m,93,28-May-18
CT,HudWhi,m,93,4-Jun-18
CT,HudWhi,m,93,12-Jun-18
CT,HudWhi,m,94,28-May-18
CT,HudWhi,m,95,28-May-18
CT,HudWhi,m,95,12-Jun-18
CT,HudWhi,m,96,28-May-18
CT,HudWhi,m,97,28-May-18
CT,HudWhi,m,98,28-May-18
CT,HudWhi,m,99,28-May-18
CT,HudWhi,m,99,12-Jun-18
CT,HudWhi,m,99,18-Jun-18
CT,HudWhi,m,100,28-May-18
CT,HudWhi,m,101,28-May-18
CT,HudWhi,m,101,12-Jun-18
CT,HudWhi,m,102,28-May-18
CT,HudWhi,m,102,12-Jun-18
CT,HudWhi,m,103,28-May-18
CT,HudWhi,m,103,12-Jun-18
CT,HudWhi,m,104,28-May-18
CT,HudWhi,m,105,28-May-18
CT,HudWhi,f,106,28-May-18
CT,HudWhi,m,107,28-May-18
CT,HudWhi,m,108,28-May-18
CT,HudWhi,m,109,28-May-18
CT,HudWhi,m,110,28-May-18
CT,HudWhi,m,111,28-May-18
CT,AmeEme,m,112,28-May-18
CT,BeaBas,m,113,28-May-18
CT,HudWhi,m,114,28-May-18
CT,HudWhi,m,115,28-May-18
CT,HudWhi,m,115,18-Jun-18
CT,HudWhi,m,115,29-Jun-18
CT,DtTWhi,m,116,28-May-18
CT,HudWhi,m,117,28-May-18
CT,HudWhi,m,118,28-May-18
CT,HudWhi,m,119,28-May-18
HB,CrRWhi,f,120,28-May-18
HB,CrRWhi,m,121,5-Jun-18
HB,AmeEme,m,122,25-Jun-18
HB,CrRWhi,m,123,6-Jun-18
HB,CrRWhi,m,124,7-Jun-18
HB,CrRWhi,f,125,29-May-18
HB,CrRWhi,m,126,8-Jun-18
HB,CrRWhi,m,127,9-Jun-18
HB,CrRWhi,m,128,10-Jun-18
HB,CrRWhi,f,129,30-May-18
HB,CrRWhi,m,130,11-Jun-18
HB,CrRWhi,m,131,12-Jun-18
HB,CrRWhi,f,132,31-May-18
HB,CrRWhi,m,133,13-Jun-18
HB,CrRWhi,m,134,14-Jun-18
HB,CrRWhi,m,135,15-Jun-18
HB,CrRWhi,f,136,1-Jun-18
HB,CrRWhi,m,137,16-Jun-18
HB,CrRWhi,m,138,17-Jun-18
HB,CrRWhi,f,139,2-Jun-18
HB,CrRWhi,m,140,18-Jun-18
HB,CrRWhi,m,141,19-Jun-18
HB,CrRWhi,m,142,20-Jun-18
HB,CrRWhi,m,143,21-Jun-18
HB,CrRWhi,m,144,22-Jun-18
HB,CrRWhi,f,145,3-Jun-18
HB,CrRWhi,m,146,23-Jun-18
HB,CrRWhi,f,147,4-Jun-18
HB,CrRWhi,m,148,24-Jun-18
NMPS,LanClu,m,150,29-May-18
NMBS,ChFCor,m,151,29-May-18
NMBS,ChFCor,m,152,29-May-18
