code,SppCode,Sex,Number,ch
NMBS,CGrDar,m,1,10000000000
NMPN,PaiSki,m,2,10000000000
NMBN,PaiSki,m,3,10000000000
NMPN,PaiSki,m,4,10000000000
HB,CarSad,m,5,10000000000
HB,PaiSki,m,6,10000000000
HB,PaiSki,m,7,10000000000
HB,PaiSki,m,8,10000000000
HB,PaiSki,m,9,10000000000
HB,PaiSki,m,10,10000000000
HB,PaiSki,m,11,10000000000
HB,CarSad,m,12,10000000000
HB,PaiSki,m,13,10000000000
HB,PaiSki,m,14,10000000000
HB,CarSad,m,15,10000000000
HB,CarSad,m,16,10000000000
HB,CarSad,m,17,10000000000
HB,CarSad,m,18,10000000000
NMPN,PaiSki,m,19,01000000000
NMPN,PaiSki,m,20,01000000000
NMPN,PaiSki,m,21,01000000000
NMPN,PaiSki,m,22,01000000000
HB,CarSad,m,23,01000000000
HB,PaiSki,m,24,01000000000
HB,PaiSki,m,25,01000000000
HB,PaiSki,m,26,01000000000
HB,PaiSki,m,27,01000000000
HB,CarSad,m,28,01000000000
HB,CarSad,m,29,01000000000
HB,PaiSki,m,30,01000000000
HB,ChFCor,m,31,01000000000
HB,PaiSki,m,32,01000000000
HB,CarSad,m,33,01000000000
HB,CarSad,m,34,01000000000
NMPS,PaiSki,m,35,10000000000
NMPS,PaiSki,m,36,10000000000
NMPS,PaiSki,m,37,10000000000
NMPS,PaiSki,m,38,10000000000
NMPS,ChFCor,f,39,10000000000
NMPS,ChFCor,m,40,10000000000
NMPS,ComWhi,m,41,10000000000
NMBS,BeaBas,m,42,01000000000
NMBS,PaiSki,m,43,01000000000
NMBS,BeaBas,m,44,01000000000
NMBS,PaiSki,m,45,01000000000
NMBS,PaiSki,m,46,01001000000
NMBS,PaiSki,m,47,01000000000
NMBS,CarSad,m,48,01000000000
NMBS,PaiSki,m,49,01000000000
NMBS,PaiSki,m,50,01000000000
NMBS,PaiSki,f,51,01000000000
NMBS,PaiSki,m,52,01100000000
NMBS,PaiSki,m,53,01000000000
NMBS,PaiSki,m,54,01000000000
NMBS,PaiSki,m,55,01000000000
NMBS,PaiSki,m,56,01000000000
NMBS,PaiSki,m,57,01000000000
NMBS,CarSad,m,58,01000000000
NMBS,PaiSki,m,59,01000000000
NMBS,PaiSki,m,60,01000000000
NMBS,BeaBas,m,61,01000000000
NMBS,BeaBas,m,62,01000000000
NMBS,PaiSki,m,63,01000000000
NMPS,ComWhi,m,64,10000000000
NMPS,ChFCor,f,65,10000000000
NMPS,ComWhi,m,66,10000000000
NMPS,PaiSki,m,67,10000000000
NCCP,BeaBas,m,68,10000000000
NCCP,CGrDar,m,69,10000000000
NCCP,BeaBas,m,70,10000000000
NCCP,PaiSki,m,71,10000000000
NCCP,PaiSki,m,72,10000000000
NCCP,PaiSki,m,73,10000000000
NCCB,ComWhi,m,74,10000000000
NCCB,BeaBas,m,75,10000000000
NCCB,BeaBas,m,76,10000000000
NCCB,ComWhi,m,77,10000000000
NCCB,BeaBas,m,78,10000000000
NCCB,ComWhi,m,79,10000000000
NCCB,ChFCor,m,80,10000000000
NCCB,BeaBas,m,81,10000000000
NCCB,PaiSki,m,82,10000000000
NCCP,BeaBas,m,83,10000000000
NCCP,BeaBas,m,84,10000000000
NCCP,BeaBas,m,85,10000000000
NCCP,BeaBas,m,86,10000000000
NCCP,BeaBas,m,87,10000000000
CT,HudWhi,m,88,10000000000
CT,HudWhi,m,89,11100000000
CT,HudWhi,m,90,10000000000
CT,HudWhi,m,91,10000000000
CT,HudWhi,m,92,10100000000
CT,HudWhi,m,93,11100000000
CT,HudWhi,m,94,10000000000
CT,HudWhi,m,95,10100000000
CT,HudWhi,m,96,10000000000
CT,HudWhi,m,97,10000000000
CT,HudWhi,m,98,10000000000
CT,HudWhi,m,99,10110000000
CT,HudWhi,m,100,10000000000
CT,HudWhi,m,101,10100000000
CT,HudWhi,m,102,10100000000
CT,HudWhi,m,103,10100000000
CT,HudWhi,m,104,10000000000
CT,HudWhi,m,105,10000000000
CT,HudWhi,f,106,10000000000
CT,HudWhi,m,107,10000000000
CT,HudWhi,m,108,10000000000
CT,HudWhi,m,109,10000000000
CT,HudWhi,m,110,10000000000
CT,HudWhi,m,111,10000000000
CT,AmeEme,m,112,10000000000
CT,BeaBas,m,113,10000000000
CT,HudWhi,m,114,10000000000
CT,HudWhi,m,115,10101000000
CT,DtTWhi,m,116,10000000000
CT,HudWhi,m,117,10000000000
CT,HudWhi,m,118,10000000000
CT,HudWhi,m,119,10000000000
HB,CrRWhi,f,120,00100000000
HB,CrRWhi,m,121,00100000000
HB,AmeEme,m,122,00100000000
HB,CrRWhi,m,123,00100000000
HB,CrRWhi,m,124,00100000000
HB,CrRWhi,f,125,00100000000
HB,CrRWhi,m,126,00100000000
HB,CrRWhi,m,127,00100000000
HB,CrRWhi,m,128,00100000000
HB,CrRWhi,f,129,00100000000
HB,CrRWhi,m,130,00100000000
HB,CrRWhi,m,131,00100000000
HB,CrRWhi,f,132,00100000000
HB,CrRWhi,m,133,00100000000
HB,CrRWhi,m,134,00100000000
HB,CrRWhi,m,135,00100000000
HB,CrRWhi,f,136,00100000000
HB,CrRWhi,m,137,00100000000
HB,CrRWhi,m,138,00100000000
HB,CrRWhi,f,139,00100000000
HB,CrRWhi,m,140,00100000000
HB,CrRWhi,m,141,00100000000
HB,CrRWhi,m,142,00100000000
HB,CrRWhi,m,143,00100000000
HB,CrRWhi,m,144,00100000000
HB,CrRWhi,f,145,00100000000
HB,CrRWhi,m,146,00100000000
HB,CrRWhi,f,147,00100000000
HB,CrRWhi,m,148,00100000000
NMPS,LanClu,m,150,01000000000
NMBS,ChFCor,m,151,00100000000
NMBS,ChFCor,m,152,00100000000
NMBS,CarSad,m,153,00100000000
NMBS,PaiSki,m,154,00100000000
NMBS,ChFCor,m,155,00100000000
NMBS,PaiSki,m,156,00100000000
NMBS,ComWhi,m,157,00100000000
NMBS,ChFCor,m,158,00100000000
NMBS,ChFCor,m,159,00100000000
NMBS,AmeEme,m,160,00100000000
NMBS,BeaBas,m,161,00100000000
NMBS,ChFCor,m,162,00100000000
NMBS,PaiSki,m,163,00100000000
NMBS,PaiSki,m,164,00100000000
NMBS,PaiSki,m,165,00100000000
NMBS,PaiSki,m,166,00100000000
NMBS,PaiSki,m,167,00100000000
NMBS,PaiSki,m,168,00100000000
NMBS,PaiSki,m,169,00100000000
NMBS,ChFCor,m,170,00100000000
NMBS,ComWhi,m,171,00100000000
NMPN,CrRWhi,f,172,00100000000
NCCP,ChFCor,m,173,01000000000
NCCP,ChFCor,m,174,01100000000
NCCP,ChFCor,m,175,01000000000
NCCP,ChFCor,m,176,01000000000
NCCP,ChFCor,m,177,01000000000
NCCP,ChFCor,m,178,01000000000
NCCP,DtTWhi,m,179,01000000000
