location,species,sex,mark number,Date of initial capture,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
CLSA,CrRWhi,m,192,7-Jun-18,1,0,0,0,0,0,0,0,0,0,0
CLSA,PaiSki,m,193,7-Jun-18,1,0,0,0,0,0,0,0,0,0,0
CLSA,ChFCor,m,194,7-Jun-18,1,0,0,0,0,0,0,0,0,0,0
CLSA,ChFCor,m,246,7-Jun-18,1,0,0,0,0,0,0,0,0,0,0
CLSA,ChFCor,m,247,7-Jun-18,1,0,0,0,0,0,0,0,0,0,0
CLSA,ChFCor,m,248,7-Jun-18,1,0,0,0,0,0,0,0,0,0,0
CLSA,ChFCor,m,249,7-Jun-18,1,0,0,0,0,0,0,0,0,0,0
CLSA,ChFCor,f,250,7-Jun-18,1,0,0,0,0,0,0,0,0,0,0
CLSA,ChFCor,m,251,7-Jun-18,1,1,0,0,0,0,0,0,0,0,0
CLSA,ChFCor,m,252,7-Jun-18,1,0,0,0,0,0,0,0,0,0,0
CLSA,ChFCor,m,404,15-Jun-18,0,1,0,0,0,0,0,0,0,0,0
CLSA,ChFCor,m,405,15-Jun-18,0,1,0,0,0,0,0,0,0,0,0
CLSA,ChFCor,m,406,15-Jun-18,0,1,0,0,0,0,0,0,0,0,0
CLSA,ChFCor,m,407,15-Jun-18,0,1,0,0,0,0,0,0,0,0,0
CLSA,ComWhi,m,408,15-Jun-18,0,1,0,0,0,0,0,0,0,0,0
