location,species,sex,mark number,Date of initial capture,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
HB,CarSad,m,5,12-May-18,1,0,0,0,0,0,0,0,0,0,0
HB,PaiSki,m,6,12-May-18,1,0,0,0,0,0,0,0,0,0,0
HB,PaiSki,m,7,12-May-18,1,0,0,0,0,0,0,0,0,0,0
HB,PaiSki,m,8,12-May-18,1,0,0,0,0,0,0,0,0,0,0
HB,PaiSki,m,9,12-May-18,1,0,0,0,0,0,0,0,0,0,0
HB,PaiSki,m,10,12-May-18,1,0,0,0,0,0,0,0,0,0,0
HB,PaiSki,m,11,12-May-18,1,0,0,0,0,0,0,0,0,0,0
HB,CarSad,m,12,12-May-18,1,0,0,0,0,0,0,0,0,0,0
HB,PaiSki,m,13,12-May-18,1,0,0,0,0,0,0,0,0,0,0
HB,PaiSki,m,14,12-May-18,1,0,0,0,0,0,0,0,0,0,0
HB,CarSad,m,15,12-May-18,1,0,0,0,0,0,0,0,0,0,0
HB,CarSad,m,16,12-May-18,1,0,0,0,0,0,0,0,0,0,0
HB,CarSad,m,17,12-May-18,1,0,0,0,0,0,0,0,0,0,0
HB,CarSad,m,18,12-May-18,1,0,0,0,0,0,0,0,0,0,0
HB,CarSad,m,23,24-May-18,0,1,0,0,0,0,0,0,0,0,0
HB,PaiSki,m,24,24-May-18,0,1,0,0,0,0,0,0,0,0,0
HB,PaiSki,m,25,24-May-18,0,1,0,0,0,0,0,0,0,0,0
HB,PaiSki,m,26,24-May-18,0,1,0,0,0,0,0,0,0,0,0
HB,CarSad,m,28,24-May-18,0,1,0,0,0,0,0,0,0,0,0
HB,PaiSki,m,30,24-May-18,0,1,0,0,0,0,0,0,0,0,0
HB,ChFCor,m,31,24-May-18,0,1,0,0,0,0,0,0,0,0,0
HB,PaiSki,m,32,24-May-18,0,1,0,0,0,0,0,0,0,0,0
HB,CarSad,m,34,24-May-18,0,1,0,0,0,0,0,0,0,0,0
HB,CrRWhi,f,120,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,m,121,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,AmeEme,m,122,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,m,123,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,m,124,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,f,125,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,m,126,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,m,127,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,m,128,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,f,129,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,m,130,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,m,131,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,f,132,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,m,133,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,m,134,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,m,135,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,f,136,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,m,137,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,m,138,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,f,139,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,m,140,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,m,141,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,m,142,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,m,143,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,m,144,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,f,145,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,m,146,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,f,147,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,CrRWhi,m,148,28-May-18,0,0,1,0,0,0,0,0,0,0,0
HB,AmeEme,m,195,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,m,196,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,m,197,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,m,198,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,f,199,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
HB,CrRWhi,m,200,7-Jun-18,0,0,0,1,0,0,0,0,0,0,0
