location,species,sex,mark number,Date of initial capture,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
CT,HudWhi,m,88,28-May-18,1,0,0,0,0,0,0,0,0,0,0
CT,HudWhi,m,89,28-May-18,1,1,1,0,0,0,0,0,0,0,0
CT,HudWhi,m,90,28-May-18,1,0,0,0,0,0,0,0,0,0,0
CT,HudWhi,m,91,28-May-18,1,0,0,0,0,0,0,0,0,0,0
CT,HudWhi,m,92,28-May-18,1,0,1,0,0,0,0,0,0,0,0
CT,HudWhi,m,93,28-May-18,1,1,1,0,0,0,0,0,0,0,0
CT,HudWhi,m,94,28-May-18,1,0,0,0,0,0,0,0,0,0,0
CT,HudWhi,m,95,28-May-18,1,0,1,0,0,0,0,0,0,0,0
CT,HudWhi,m,96,28-May-18,1,0,0,0,0,0,0,0,0,0,0
CT,HudWhi,m,97,28-May-18,1,0,0,0,0,0,0,0,0,0,0
CT,HudWhi,m,98,28-May-18,1,0,0,0,0,0,0,0,0,0,0
CT,HudWhi,m,99,28-May-18,1,0,1,1,0,0,0,0,0,0,0
CT,HudWhi,m,100,28-May-18,1,0,0,0,0,0,0,0,0,0,0
CT,HudWhi,m,101,28-May-18,1,0,1,0,0,0,0,0,0,0,0
CT,HudWhi,m,102,28-May-18,1,0,1,0,0,0,0,0,0,0,0
CT,HudWhi,m,103,28-May-18,1,0,1,0,0,0,0,0,0,0,0
CT,HudWhi,m,104,28-May-18,1,0,0,0,0,0,0,0,0,0,0
CT,HudWhi,m,105,28-May-18,1,0,0,0,0,0,0,0,0,0,0
CT,HudWhi,f,106,28-May-18,1,0,0,0,0,0,0,0,0,0,0
CT,HudWhi,m,107,28-May-18,1,0,0,0,0,0,0,0,0,0,0
CT,HudWhi,m,108,28-May-18,1,0,0,0,0,0,0,0,0,0,0
CT,HudWhi,m,109,28-May-18,1,0,0,0,0,0,0,0,0,0,0
CT,HudWhi,m,110,28-May-18,1,0,0,0,0,0,0,0,0,0,0
CT,HudWhi,m,111,28-May-18,1,0,0,0,0,0,0,0,0,0,0
CT,HudWhi,m,114,28-May-18,1,0,0,0,0,0,0,0,0,0,0
CT,HudWhi,m,115,28-May-18,1,0,1,0,1,0,0,0,0,0,0
CT,HudWhi,m,117,28-May-18,1,0,0,0,0,0,0,0,0,0,0
CT,HudWhi,m,118,28-May-18,1,0,0,0,0,0,0,0,0,0,0
CT,HudWhi,m,119,28-May-18,1,0,0,0,0,0,0,0,0,0,0
CT,HudWhi,m,192,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,HudWhi,m,290,9-Jun-18,0,0,0,0,1,1,0,0,0,0,0
CT,HudWhi,f,305,12-Jun-18,0,0,1,0,0,0,0,0,0,0,0
CT,HudWhi,f,306,12-Jun-18,0,0,1,0,0,0,0,0,0,0,0
CT,HudWhi,m,308,12-Jun-18,0,0,1,0,0,0,0,0,0,0,0
CT,HudWhi,m,309,12-Jun-18,0,0,1,0,0,0,0,0,0,0,0
NMBN,HudWhi,m,353,14-Jun-18,0,1,0,0,0,0,0,0,0,0,0
CT,HudWhi,f,432,18-Jun-18,0,0,0,1,0,0,0,0,0,0,0
CT,HudWhi,m,433,18-Jun-18,0,0,0,1,0,0,0,0,0,0,0
CT,HudWhi,m,435,18-Jun-18,0,0,0,1,0,0,0,0,0,0,0
CT,HudWhi,f,437,18-Jun-18,0,0,0,1,0,0,0,0,0,0,0
CT,HudWhi,m,438,18-Jun-18,0,0,0,1,0,0,0,0,0,0,0
CT,HudWhi,f,444,29-Jun-18,0,0,0,0,0,1,0,0,0,0,0
CT,HudWhi,m,446,29-Jun-18,0,0,0,0,0,1,0,0,0,0,0
CT,HudWhi,m,514,8-Jul-18,0,0,0,0,0,0,1,0,0,0,0
CT,HudWhi,m,515,8-Jul-18,0,0,0,0,0,0,1,0,0,0,0
