location,species,sex,mark number,Date of initial capture,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
NCCB,ComWhi,m,74,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NCCB,BeaBas,m,75,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NCCB,BeaBas,m,76,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NCCB,ComWhi,m,77,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NCCB,BeaBas,m,78,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NCCB,ComWhi,m,79,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NCCB,ChFCor,m,80,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NCCB,BeaBas,m,81,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NCCB,PaiSki,m,82,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NCCB,DtTWhi,m,188,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0
NCCB,DtTWhi,m,189,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0
NCCB,DtTWhi,m,190,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0
NCCB,BluDas,m,493,3-Jul-18,0,0,0,1,0,0,0,0,0,0,0
NCCB,TwSSki,m,494,3-Jul-18,0,0,0,1,0,0,0,0,0,0,0
NCCB,ComWhi,f,495,3-Jul-18,0,0,0,1,0,0,0,0,0,0,0
NCCB,BluDas,m,496,3-Jul-18,0,0,0,1,0,0,0,0,0,0,0
NCCB,BluDas,m,497,3-Jul-18,0,0,0,1,0,0,0,0,0,0,0
NCCB,BluDas,m,498,3-Jul-18,0,0,0,1,0,0,0,0,0,0,0
NCCB,BluDas,m,499,3-Jul-18,0,0,0,1,0,0,0,0,0,0,0
NCCB,ChFCor,m,500,3-Jul-18,0,0,0,1,0,0,0,0,0,0,0
NCCB,BluDas,m,501,3-Jul-18,0,0,0,1,0,0,0,0,0,0,0
NCCB,ComWhi,m,502,3-Jul-18,0,0,0,1,0,0,0,0,0,0,0
NCCB,BluDas,m,504,3-Jul-18,0,0,0,1,0,0,0,0,0,0,0
NCCB,DtTWhi,m,505,3-Jul-18,0,0,0,1,0,0,0,0,0,0,0
NCCB,BluDas,m,506,3-Jul-18,0,0,0,1,0,0,0,0,0,0,0
NCCB,TwSSki,m,507,3-Jul-18,0,0,0,1,0,0,0,0,0,0,0
NCCB,WFaMea,m,508,3-Jul-18,0,0,0,1,0,0,0,0,0,0,0
NCCB,SpaSki,m,509,3-Jul-18,0,0,0,1,0,0,0,0,0,0,0
NCCB,DtTWhi,m,510,3-Jul-18,0,0,0,1,0,0,0,0,0,0,0
NCCB,BluDas,m,512,3-Jul-18,0,0,0,1,0,0,0,0,0,0,0
NCCB,DtTWhi,m,595,12-Jul-18,0,0,0,0,1,0,0,0,0,0,0
NCCB,DtTWhi,m,596,12-Jul-18,0,0,0,0,1,0,0,0,0,0,0
NCCB,DtTWhi,m,598,12-Jul-18,0,0,0,0,1,0,0,0,0,0,0
NCCB,BluDas,m,599,12-Jul-18,0,0,0,0,1,0,0,0,0,0,0
NCCB,BluDas,m,600,12-Jul-18,0,0,0,0,1,0,0,0,0,0,0
NCCB,BluDas,m,601,12-Jul-18,0,0,0,0,1,0,0,0,0,0,0
