location,species,sex,mark number,Date of initial capture,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
NCCP,BeaBas,m,68,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NCCP,CGrDar,m,69,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NCCP,BeaBas,m,70,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NCCP,PaiSki,m,71,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NCCP,PaiSki,m,72,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NCCP,PaiSki,m,73,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NCCP,BeaBas,m,83,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NCCP,BeaBas,m,84,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NCCP,BeaBas,m,85,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NCCP,BeaBas,m,86,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NCCP,BeaBas,m,87,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NCCP,ChFCor,m,173,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0
NCCP,ChFCor,m,174,4-Jun-18,0,1,1,0,0,0,0,0,0,0,0
NCCP,ChFCor,m,175,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0
NCCP,ChFCor,m,176,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0
NCCP,ChFCor,m,177,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0
NCCP,ChFCor,m,178,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0
NCCP,DtTWhi,m,179,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0
NCCP,ChFCor,m,180,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0
NCCP,ChFCor,m,181,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0
NCCP,ChFCor,m,182,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0
NCCP,ChFCor,f,183,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0
NCCP,ChFCor,m,184,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0
NCCP,ChFCor,m,185,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0
NCCP,ChFCor,m,186,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0
NCCP,ComBas,m,187,4-Jun-18,0,1,0,0,0,0,0,0,0,0,0
NCCP,DtTWhi,m,313,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0
NCCP,ChFCor,m,314,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0
NCCP,ChFCor,f,315,14-Jun-18,0,0,1,0,0,0,0,0,0,0,0
