location,species,sex,mark number,Date of initial capture,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
NMBS,CGrDar,m,1,2-May-18,1,0,0,0,0,0,0,0,0,0,0
NMBS,BeaBas,m,42,25-May-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,43,25-May-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,BeaBas,m,44,25-May-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,45,25-May-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,46,25-May-18,0,1,0,0,1,0,0,0,0,0,0
NMBS,PaiSki,m,47,25-May-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,CarSad,m,48,25-May-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,49,25-May-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,50,25-May-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,PaiSki,f,51,25-May-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,52,25-May-18,0,1,1,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,53,25-May-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,54,25-May-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,55,25-May-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,56,25-May-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,57,25-May-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,CarSad,m,58,25-May-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,59,25-May-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,60,25-May-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,BeaBas,m,61,25-May-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,BeaBas,m,62,25-May-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,63,25-May-18,0,1,0,0,0,0,0,0,0,0,0
NMBS,ChFCor,m,151,29-May-18,0,0,1,0,0,0,0,0,0,0,0
NMBS,ChFCor,m,152,29-May-18,0,0,1,0,0,0,0,0,0,0,0
NMBS,CarSad,m,153,29-May-18,0,0,1,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,154,29-May-18,0,0,1,0,0,0,0,0,0,0,0
NMBS,ChFCor,m,155,29-May-18,0,0,1,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,156,29-May-18,0,0,1,0,0,0,0,0,0,0,0
NMBS,ComWhi,m,157,29-May-18,0,0,1,0,0,0,0,0,0,0,0
NMBS,ChFCor,m,158,29-May-18,0,0,1,0,0,0,0,0,0,0,0
NMBS,AmeEme,m,160,29-May-18,0,0,1,0,0,0,0,0,0,0,0
NMBS,BeaBas,m,161,29-May-18,0,0,1,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,163,29-May-18,0,0,1,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,164,29-May-18,0,0,1,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,165,29-May-18,0,0,1,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,167,29-May-18,0,0,1,0,0,0,0,0,0,0,0
NMBS,PaiSki,m,168,29-May-18,0,0,1,0,0,0,0,0,0,0,0
