location,species,sex,mark number,Date of initial capture,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
NMPS,PaiSki,m,35,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NMPS,PaiSki,m,36,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NMPS,PaiSki,m,37,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NMPS,PaiSki,m,38,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NMPS,ChFCor,f,39,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NMPS,ChFCor,m,40,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NMPS,ComWhi,m,41,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NMPS,ComWhi,m,64,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NMPS,ChFCor,f,65,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NMPS,ComWhi,m,66,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NMPS,PaiSki,m,67,25-May-18,1,0,0,0,0,0,0,0,0,0,0
NMPS,LanClu,m,150,29-May-18,0,1,0,0,0,0,0,0,0,0,0
NMPS,PaiSki,f,259,9-Jun-18,0,0,1,0,0,0,0,0,0,0,0
